Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
25.4294,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.248304,0,0,
25.5547,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.196408,0,0,
25.6798,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0483577,0,0,
25.8049,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0431111,0,0,
25.93,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0609267,0,0,
26.0549,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0949907,0,0,
26.18,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0945435,0,0,
26.3053,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.245063,0,0,
26.4305,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.262323,0,0,
26.5557,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.100294,0,0,
26.6809,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0870847,0,0,
26.806,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0735046,0,0,
26.9309,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0914671,0,0,
27.056,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0988912,0,0,
27.1811,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0968377,0,0,
27.3063,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.106924,0,0,
27.4315,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0653683,0,0,
27.5569,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0528876,0,0,
27.6819,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0568353,0,0,
27.8069,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.139048,0,0,
27.932,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.37257,0,0,
28.0572,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.28989,0,0,
28.1823,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.138964,0,0,
28.3076,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0844868,0,0,
28.4329,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.135701,0,0,
28.5578,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0916566,0,0,
28.6829,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0726217,0,0,
28.808,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.101612,0,0,
28.9332,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.116248,0,0,
29.0583,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.129916,0,0,
29.1836,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.137322,0,0,
29.309,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.245565,0,0,
29.434,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.187464,0,0,
29.559,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.19021,0,0,
29.6843,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0989758,0,0,
29.8092,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0566556,0,0,
29.9346,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.048157,0,0,
30.0598,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0708577,0,0,
30.1848,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0978276,0,0,
30.31,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.105217,0,0,
30.4349,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0408456,0,0,0,
30.56,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0388247,0,0,
30.685,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0854371,0,0,
30.8105,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.113767,0,0,
30.9355,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0182164,0,0,
31.0608,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
31.311,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
31.5772,2,0, 4, 4, 0, 1, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0392265,0,0,0,
31.702,2,0, 4, 4, 0, 1, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0398653,0,0,0,
31.7649,2,0, 4, 4, 0, 1, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0398653,0,0,0,
31.8273,2,0, 4, 4, 0, 1, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0439581,0,0,0,
31.9844,2,0, 4, 4, 0, 1, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0493471,0,0,0,
32.063,2,0, 4, 4, 0, 2, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0638534,0,0,0,
32.1968,2,0, 4, 4, 0, 2, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0595193,0,0,0,
32.3214,2,0, 4, 4, 0, 2, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0419089,0,0,0,
32.4461,2,0, 4, 4, 0, 2, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0330909,0,0,0,
32.4461,0,0, 4, 4, 0, 2, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0330909,0,0,0,
