Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
5.65992,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.171583,0,0,
5.78498,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.14148,0,0,
5.91014,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.138761,0,0,
6.0353,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.126669,0,0,
6.1605,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0830809,0,0,
6.2856,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0865788,0,0,
6.41071,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.108578,0,0,
6.53582,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.120547,0,0,
6.66093,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.10896,0,0,
6.78594,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0725138,0,0,
6.91104,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.10935,0,0,
7.03615,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.129915,0,0,
7.16116,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0426294,0,0,
7.28647,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0940521,0,0,
7.41158,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0896261,0,0,
7.53678,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0973079,0,0,
7.66179,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.232836,0,0,
7.7869,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.10744,0,0,
7.91191,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.180007,0,0,
8.03702,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.213244,0,0,
8.16223,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.125484,0,0,
8.28723,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.142575,0,0,
